group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schaffer2,20_20_250000_0.000001,,,,1033918492.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1000441792.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1026984871.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1015431659.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1059277753.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1017008313.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1027663143.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1011562236.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1013422091.0,ns,1
schaffer2,20_20_250000_0.000001,,,,991480929.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1029324988.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1026210144.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1002114992.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1003922934.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1025966474.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1003203119.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1006005477.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1021952557.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1027418226.0,ns,1
schaffer2,20_20_250000_0.000001,,,,996333754.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1008136249.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1004577084.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1013588365.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1008264784.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1007398678.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1011370748.0,ns,1
schaffer2,20_20_250000_0.000001,,,,999989161.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1014981828.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1008723092.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1011374612.0,ns,1
schaffer2,20_20_250000_0.000001,,,,991402509.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1016862022.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1001197654.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1023532070.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1016113833.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1013289254.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1017273615.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1017726003.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1004599769.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1030490472.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1012298120.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1013637048.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1042104127.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1011689624.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1001939317.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1035878658.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1006626189.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1014928373.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1012646660.0,ns,1
schaffer2,20_20_250000_0.000001,,,,998891572.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1022767056.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1012192261.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1009030700.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1009954175.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1001644322.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1028465411.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1010500368.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1008829746.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1006581443.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1001913645.0,ns,1
schaffer2,20_20_250000_0.000001,,,,995969068.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1016858610.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1001185945.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1011116968.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1005583309.0,ns,1
schaffer2,20_20_250000_0.000001,,,,995639641.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1028287723.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1014516609.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1039761791.0,ns,1
schaffer2,20_20_250000_0.000001,,,,992235566.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1032254412.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1001362164.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1035461542.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1003046192.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1016960567.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1030937275.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1006528098.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1023214796.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1034156652.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1011541196.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1012768455.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1004599676.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1015327893.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1018043900.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1002673811.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1013975402.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1022152139.0,ns,1
schaffer2,20_20_250000_0.000001,,,,1006130609.0,ns,1
